familyName,givenName,additionalName,honorificPrefix,birthDate
Sliney,Mylo,Scott,,
Moatt,Pierson,,,
McGawn,Rufus,Collin,,1940-05-15
Sommersett,Barde,,,2000-09-25
Pickthall,Vin,,,1950-07-22
Greenier,Rhett,,,1988-10-21
Patshull,Emlen,,,
Flipek,Vittorio,Reinold,,1981-11-05
Ricioppo,Jared,,,1988-05-29
Willows,Palm,,Dr,
Golding,Sheffield,,,1965-03-23
Nevison,Vergil,,,
Perl,Francklyn,Carmine,,1984-04-29
Curedale,Quinn,Isac,,
Ost,Mario,Mario,,1969-10-17
Idell,Kristoforo,Dennie,Honorable,1950-11-21
Arghent,Towny,,Mr,
Tremblett,Powell,,Mrs,1987-06-30
Bater,Cal,Kristos,,
Isaac,Delbert,,,
Mathwin,Geoff,,,1936-07-06
Gissing,Harris,,Honorable,1942-12-24
Bambrick,Brandtr,,Mr,1967-02-17
Stang-Gjertsen,Archy,,,1997-09-30
Creser,Drud,,,
De Gregorio,Moe,Judas,,1985-07-17
Comber,Horacio,,,1959-08-05
Curwood,Errick,Raymond,Mrs,1949-12-20
Weatherhead,Aldwin,,,1955-03-08
McGinley,Scot,Lowe,,1982-03-08
Newarte,Dur,Tulley,,1976-07-19
Vigors,Andrej,,,1954-06-22
Tortoise,Charlie,,,
Elliman,Sebastiano,,,1945-08-04
Hothersall,Bret,,,1951-03-15
Grinaugh,Hardy,Elmo,,
Waltering,Hayes,Darrell,,1954-12-06
Craisford,Brennen,Alyosha,,
Samples,Ulrick,Connie,,1968-04-03
Koop,Ennis,,,2003-06-11
Loughhead,Errick,Granville,,1954-10-30
Sawrey,Ichabod,Burtie,,
Toplin,Guglielmo,Philip,,1997-10-28
Julian,Angus,Stephanus,,
Vero,Anton,,,1986-11-10
Jessup,Sven,,,1944-10-04
Gibben,Basile,Monty,,1995-01-26
Valentelli,Fletcher,,,1933-12-06
Dinsell,Alick,Raviv,,1970-05-07
Self,Abbe,,,
Holbarrow,Sauncho,Virge,,1936-03-04
Nare,Chrissy,,,1950-12-15
Golson,Rudie,,,1988-12-17
Waterhowse,Aluino,,,1948-01-26
Fetherstone,Lombard,,,1993-04-01
Millan,Armand,,,1972-07-14
Cussins,Shamus,,,1987-02-18
Brobyn,Zacharia,Justen,,1990-06-09
Romeo,Reynard,,,1962-10-18
Kleiser,Mateo,,,1943-03-19
Chaffin,Earlie,Cobby,Honorable,1939-10-09
Kail,Aharon,,,1979-01-28
Bronot,Rayner,,,1982-05-13
Atte-Stone,Brewer,,,
Hincham,Jaymie,,,
Corinton,Hillyer,Rafael,,1994-05-18
Sailes,Bent,Wainwright,,1998-11-07
Hawkin,Desmond,,,1947-04-17
Fri,Stavro,,,
Whopples,Teador,,,1953-01-15
Topping,Harvey,Ignaz,,1954-02-28
Cotgrove,Harman,,,1995-04-17
McGinnis,Juan,Massimiliano,,1990-06-29
Usmar,Lyon,Arnold,,1977-10-10
Ciccoloi,Pernell,Huntington,,1998-07-25
Dun,George,,,1953-08-04
Impey,Garvin,Ezequiel,Dr,1930-05-01
Sorsbie,Norbert,,,1972-05-18
Sporton,Weston,,,1933-11-15
Keld,Waverley,Harman,,1960-12-02
Boutcher,Zebadiah,,,
Slainey,Nichols,Arv,,1985-04-10
Britee,Gradey,Mort,,1980-12-14
Wort,Tobit,,,1987-12-16
Jennions,Erroll,,,1936-06-05
Catlette,Matt,,,1985-12-24
Peachment,Emelen,,,1931-11-28
Mullinger,Levon,Burk,,
Fearnsides,Nikolaos,Buck,,
Moakes,Trey,,Rev,1961-10-11
Pahler,Jamil,,,1980-05-11
Donnett,Hadleigh,Grant,,1945-11-22
Fiske,Nathanial,,,1936-05-22
Weaver,Turner,,,2003-10-16
McGrah,Sasha,,,2002-03-03
Painswick,Tadd,,,1960-11-27
Ogus,Hal,,,1961-08-05
Mungin,Frederick,Yank,,1984-11-26
Leyre,Adrian,,,
Vido,Cyrillus,,,
Trenholm,Antonino,Toddy,,1998-11-10
Adanet,Lauritz,,Rev,1960-06-17
Castel,My,,,1932-07-05
Gartell,Yanaton,,,
Netherclift,Chancey,Maurie,,1980-04-10
Piscotti,Arney,,,1961-06-09
Penhalurick,Christophe,Teodoro,,1966-06-17
Bolwell,Sutton,Hanan,,1989-06-27
Mc Cahey,Christoper,Ellis,,
Grenfell,Alanson,,,
De Angelis,Camey,,,2003-10-24
Kingsman,Malvin,,,
Poltun,Eli,,,1930-06-29
Abrams,Tedmund,,,
Sone,Baillie,,Ms,2000-06-08
Duckers,Herbert,,,1996-03-25
Balint,Morlee,,,
Gaskamp,Norman,Milo,Mr,1946-04-17
Izac,Mayor,,,
Bader,Cyril,Stearn,,1970-11-22
Sneath,Cointon,,,
Surgener,Kirk,Tod,,1947-05-23
Gillford,Zollie,Halsy,Mr,1963-01-31
Tiddy,Isaac,,,1973-03-06
Atwill,Claudell,,,1959-11-05
Meco,Wes,,,
Ridings,Price,,,1937-03-01
Fogg,Hilarius,,,1996-06-27
Kieran,Giacobo,,,1968-12-06
Jurisic,Marcello,,,1990-06-12
Gunner,Udale,Barn,Dr,
Circuitt,Weider,,Dr,2003-05-28
Roskruge,Dewey,,,
Jimmison,Jorgan,Arley,,1931-08-03
Brothwell,Talbot,,,1979-11-14
Phelipeau,Reg,,,2003-02-15
Isac,Fletcher,Virge,Mrs,1990-12-19
Justice,Byrle,,,1941-09-24
Geraghty,Ritchie,,,1962-03-13
Pail,Kenneth,,,1951-07-26
Feasey,Blaine,,,1956-02-09
McGibbon,Elston,,,1955-01-02
Aloshechkin,Friedrick,,,
Tree,Woodman,,,1940-02-10
Challener,Farrell,,,1990-10-28
Beauman,Zacherie,,,1970-11-02
Roskams,Felix,,,1980-02-18
Frisby,Inness,Frederik,,
Portchmouth,Burgess,,,1952-09-03
Hars,Urbano,Stearn,,
Aherne,Salvidor,Damien,,1986-12-16
Chittem,Bone,,,2002-04-10
Silson,Vincenz,Guthrie,,
Osler,Neils,Morgen,,2003-05-15
Greenset,Reade,,,1982-05-02
Lghan,Malvin,,,1957-08-18
Hastwell,Frans,Conrad,,
Shinner,Elia,,,1986-08-18
Harring,Julius,,,1960-03-26
Dionisetto,Theobald,,,
Sinnatt,Buddy,,,
Morant,Bren,Barty,,1978-01-10
Duferie,Leonardo,,,
Hould,Merwyn,,Ms,
Caukill,Reece,,,1963-08-12
Ackerley,Sherlocke,Merry,Dr,1959-03-20
Rodolfi,Hillie,Rustin,,
Readings,Barry,,,1983-08-17
Ofener,Hunt,Harlin,,1984-07-07
Hakey,Coleman,,,2001-05-27
Dahlgren,Barn,,,1969-04-30
Drowsfield,Gerrard,,Mr,1986-03-22
Lorenzetti,Cchaddie,Matthew,,1966-08-10
Solman,Cale,Tom,,1956-11-29
Edgington,Jeramie,Gal,,1940-11-07
Bettenay,Bernard,,,1969-07-04
Bartos,John,Todd,Mrs,1954-02-20
Givens,Vaughan,,Dr,1965-01-22
Templman,Meredeth,,,
Nano,Vasili,,,1994-03-10
MacDonogh,Niel,,,
Bankhurst,Elvin,Titos,,1949-04-05
Wilder,Jodi,,,1998-04-25
Crispe,Cozmo,Thorny,,
Gittens,Hendrick,,Ms,
Cadwaladr,Aldon,,,1970-04-11
Hendriksen,Quinlan,,,
Viger,Marcel,,,
Gillott,Chase,,,2001-06-05
Wevell,Claiborne,,,1980-11-21
Volkers,Olenolin,,,1933-10-24
Kunneke,Eberhard,,Mrs,1965-10-02
Gail,Norby,,Mr,
Jamblin,Park,,,
Leggan,Leslie,,,1949-12-12
Turone,Demetris,,,1943-10-20
Mousdall,Darby,,,1981-04-21
Bannell,Paton,,,
Agass,Zebulen,,,1969-01-28
Tenman,Obediah,Seth,,
Minihan,Riordan,,,
Mant,Harmon,,,
Dulake,Colas,,,1955-10-04
Gathercoal,Reuven,,Honorable,1988-08-06
Klink,Rouvin,,,1997-10-03
Melliard,Zared,Aubrey,Mr,1995-11-06
Garrals,Towny,,,1961-06-09
Butters,Hailey,Levin,,1973-01-10
Mingasson,Ty,,,
Worvill,Felizio,,,1996-02-05
Oglesbee,Sol,,Rev,2002-09-22
Jantel,Rolf,Desi,,1935-06-17
Vane,Em,,,
Clutton,Hieronymus,,Honorable,1963-04-22
Sancias,Danie,,,1987-01-28
Tuminelli,Wain,Boigie,,
Filippyev,Mel,,,1969-05-07
Kryszkiecicz,Lem,,,1955-04-13
Blackshaw,Petr,Abbe,,
Huey,Hallsy,,,
Jiggens,Tobe,Zak,Mr,
Conrart,Jeremy,,,1978-03-29
Farrell,Gardner,Myrvyn,,1976-11-05
Fiddymont,Bealle,Claudio,,1948-02-23
Walder,Nevil,,,1938-09-06
Ibell,Sherlock,Dimitry,,1984-02-08
Van Arsdall,Massimiliano,,,1970-09-15
Karchowski,Godfree,,,1957-12-08
Beringer,Natty,,,1990-12-16
Gotthard.sf,Wesley,,,
Conechie,Titus,Scotti,,1952-07-11
Kolak,Jeffy,Udale,,
Lardiner,Melvyn,,,1989-10-14
Cromb,Gerrard,Gael,,1957-07-29
Coppock.,Zachery,,,
Jansa,Erasmus,Jourdain,,
Echallier,Glendon,,Mrs,
Kisar,Lek,,Ms,1964-11-01
Daviddi,Dewey,,,1956-02-05
Gosnell,Rollin,,,1985-08-13
Cassedy,Hewett,Nikola,,1979-08-12
Wenham,Hamil,,,1994-04-21
MacFadzan,Jefferey,,Ms,1966-10-07
Shankster,Loren,Domenic,,1998-10-06
Tzuker,Keefer,,Honorable,1962-12-05
Blackler,Efrem,,,2003-07-03
Cortese,Cletis,,,
Reyne,Stacy,,,
Ilett,Emlyn,,,1972-01-02
Otridge,Sancho,,,
Springett,Bernie,,,1948-03-05
Rosnau,Lucio,,,
Halligan,Tirrell,,,
Perch,Frederigo,,,1983-05-25
Malby,Wolfie,,,1966-05-19
Maunders,Wolfgang,,,1946-10-30
Kitcher,Baxie,,,1964-03-26
Carmody,Augy,,,
Slatter,Dudley,Claus,,1982-04-17
Monshall,Regan,Kennan,,
O'Feeney,Iorgo,,,1980-08-31
Davion,Averell,,,1993-06-19
Billinge,Rudiger,,,2002-11-06
Redmille,Mikel,,,1977-10-29
Cockings,Alessandro,Lovell,Ms,1960-11-15
Upsale,Cello,,,1944-08-28
Ximenez,Gerik,,,
Burdin,Raul,Padgett,Ms,1952-11-18
Hessing,Forest,,Mrs,1940-07-08
Beiderbecke,Ernst,Syd,,
